Category,Code,Size,Quantity,Cost,Selling Price
Baby Shoes (Booties),36,"8M, 10-12M & 12-15M",26,159/-,249/-
Baby Sleeping Bag Ziper,-,0-2Y,24,397.5/-,619/-
Baby Towel,17,Free Size,18,372/-,-
Baby Zipper Bag (Cotton),3,0-2Y,7,473/-,699/-
Baba Suit F B (AOP),-,"NB, 0-3M, 3-6M, 6-12M, 12-18M & 18-24M",48,174.5/-,269/-
Baba Suit F B (Solid),-,"3-6M, 6-12M, 12-18M & 18-24M",48,174.5/-,259/-
Baba Suit H/S (Printed Color),-,"0-3M, 3-6M, 6-12M, 12-18M & 18-24M",60,164.5/-,259/-
BabaSuit Full Set (K.F.T),-,-,-,-,-
Bedding Set With Bolsters,-,0-6M,3,580/-,899/-
Body Suit Pack of 3Pcs,-,"NB, 0-3M, 3-6M & 6-12M",42,324.5/-,-
Bootie Mittens(Regular),-,0-6M,24,64.5/-,89/-
Booties (Shoes),39,"6M, 8M & 10-12M",70,183/-,249/-
Caps +Bootiens +mittens set (Regular),-,0-6M,5,,135/-
Changing Mat (Muslin),2,0-2Y,21,624/-,899/-
Changing Mat,4,0-2Y,16,498/-,749/-
D.L Blacket With Poly,-,0-6M,11,324.5/-,429/-
DL Blacket With Hood,-,0-2Y,24,289.5/-,479/-
Face Wash Cloth B 8x8,-,8x8 Inch,5,-,79/-
Face Wash Cloth B 10x10,-,10x10 Inch,5,64.5/-,99/-
Feeding Pillow,40,-,2,624/-,-
Frock Full Set (K.F.T),-,"6-12M, 12-18M & 18-24M",72,224.5/-,399/-
Frock H/S All Sizes AOP,-,"0-3M, 3-6M & 6-12M",96,114.5/-,199/-
Frock H/S All Sizes AOP,-,12-18M,-,114.5/-,220/-
Frock with Leggins Set,-,"NB, 3-6M & 6-12M",72,174.5/-,319/-
Hooded wrap (Regular),-,0-6M,24,164.5/-,249/-
Hooded Sleepsuit Pack of 2,-,"0-3M, 3-6M & 6-12M",42,349.5/-,410/-
14 Pcs Gift Boxes Set,-,0-3M,24,424.5/-,799/-
MT Hooded Sleeping Bag,-,0-6M,24,324.5/-,499/-
Muslin Pillow,42,-,10,195/-,-
Muslin Pillow,43,-,9,208/-,-
Muslin Pillow,46,-,5,208/-,-
Muslin Pillow,47,-,12,202/-,-
NB Booties and Mittens Set With Rib,-,NewBorn,-,54.5/-,79/-
NB Combo C+B+M Set (White),-,NewBorn,20,54.5/-,89/-
NB Combo Pack 3 Pcs M+B+C Set,-,NewBorn,5,,135/-
NB Gift Boxes 11 Pcs 06,-,0-3M,24,374.5/-,549/-
Neck Shaping Pillow,44,-,6,88/-,-
New Born 12 Pcs Gift Box,-,0-3M,24,399.5/-,619/-
Night Suit Full AOP Set,-,"1-2Y, 2-3Y, 3-4Y & 4-5Y",16,347.5/-,429/-
Night Suit H/S T Sirts and Pajama Set (Plain),-,"1-2Y, 2-3Y, 3-4Y & 4-5Y",48,297.5/-,365/-
Night Suit Half & Shorts AOP SET,-,-,48,247.5/-,-
Night Suit Half Solid Set,-,"1-2Y, 2-3Y, 3-4Y & 4-5Y",48,297.5/-,365/-
Rai Pillow,57,-,10,164/-,-
Rai Pillow Cotton,58,-,9,164/-,-
Rai Pillow Muslin,59,-,7,189/-,-
Sleepsuit SET 2 PCS,-,"NB, 0-3M, 3-6M & 6-12M",42,324.5/-,331/-
Socks,32,NewBorn,14,101/-,169/-
Soft Baby Poillow,45,-,10,208/-,-
T Shirts Pack of 5 Pcs,-,"6-12M, 12-18M & 18-24M",35,499.5/-,599/-
Tie up cap M,-,6-12M,22,74.5/-,99/-
Tie Up Cpas S,-,0-6M,22,64.5/-,99/-
Toy with Blanket,56,-,25,570/-,-
Wraper Muslin Towel,37,-,17,441/-,-
Wraper Muslin Towel,38,-,15,441/-,-
