Category,Code,Size,Quantity,Cost,Selling Price
Baby Shoes (Booties),36,"8M,",,,
Baby Sleeping Bag Ziper,-,,,,
Baby Towel,17,,,,
Baby Zipper Bag (Cotton),3,,,,
Baba Suit F B (AOP),-,,,,
Baba Suit F B (Solid),-,,,,
Baba Suit H/S (Printed Color),-,,,,
BabaSuit Full Set (K.F.T),-,,,,
Bedding Set With Bolsters,-,,,,
Body Suit Pack of 3Pcs,-,,,,
Bootie Mittens(Regular),-,,,,
Booties (Shoes),39,"6M, 8M & 10-12M",,,
Caps +Bootiens +mittens set (Regular),-,,,,
Changing Mat,2,,,,
Changing Mat,4,,,,
D.L Blacket With Poly,-,,,,
DL Blacket With Hood,-,,,,
Face Wash Cloth B 8x8,-,,,,
Face Wash Cloth B 10x10,40,,,,
Feeding Pillow,-,,,,
Frock Full Set (K.F.T),-,,,,
Frock H/S All Sizes AOP,-,,,,
Frock with Leggins Set,-,,,,
Hooded wrap (Regular),-,,,,
Hooded Sleepsuit Pack of 2,-,,,,
14 Pcs Gift Boxes Set,-,,,,
MT Hooded Sleeping Bag,42,,,,
Muslin Pillow,43,,,,
Muslin Pillow,46,,,,
Muslin Pillow,47,,,,
Muslin Pillow,-,,,,
NB Booties and Mittens Set With Rib,-,,,,
NB Combo C+B+M Set (White),-,,,,
NB Combo Pack 3 Pcs M+B+C Set,-,,,,
NB Gift Boxes 11 Pcs 06,-,,,,
Neck Shaping Pillow,44,,,,
New Born 12 Pcs Gift Box,-,,,,
Night Suit Full AOP Set,-,,,,
Night Suit H/S T Sirts and Pajama Set (Plain),-,,,,
Night Suit Half & Shorts AOP SET,-,,,,
Night Suit Half Solid Set,-,,,,
Rai Pillow,57,,,,
Rai Pillow Cotton,58,,,,
Rai Pillow Muslin,59,,,,
Sleepsuit SET 2 PCS,-,,,,
Socks,32,,,,
Soft Baby Poillow,45,,,,
T Shirts Pack of 5 Pcs,-,,,,
Tie up cap M,-,,,,
Tie Up Cpas S,-,,,,
Toy with Blanket,56,,,,
Wraper Muslin Towel,37,,,,
Wraper Muslin Towel,38,,,,
